Model,Accuracy,F1 Score,CV Score
KNN,0.22382671480144403,0.21789303612115288,0.200451467268623
Random Forest,0.2148014440433213,0.21418895121034626,0.18961625282167044
Logistic Regression,0.1967509025270758,0.1894921574057877,0.20316027088036118
Decision Tree,0.18953068592057762,0.1887479644283178,0.19729119638826184
Gradient Boosting,0.18050541516245489,0.18017617385749513,0.1837471783295711
